# Statistics for m=1, N=200, S=100000, M=8
# k-definiteness count
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 2
42 3
43 1
44 1
45 10
46 7
47 10
48 9
49 12
50 11
51 16
52 29
53 18
54 19
55 22
56 22
57 31
58 25
59 19
60 18
61 23
62 21
63 17
64 18
65 20
66 21
67 18
68 23
69 14
70 30
71 22
72 33
73 29
74 26
75 29
76 43
77 32
78 42
79 47
80 52
81 37
82 47
83 40
84 41
85 52
86 70
87 49
88 42
89 49
90 37
91 40
92 24
93 37
94 21
95 18
96 15
97 15
98 15
99 15
100 11
101 7
102 8
103 8
104 0
105 6
106 6
107 0
108 1
109 1
110 0
111 1
