# Statistics for m=1, N=100, S=10000, M=15
# k-definiteness count
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 1
35 1
36 0
37 0
38 0
39 2
40 0
41 0
42 2
43 1
44 0
45 1
46 0
47 0
48 2
49 2
50 1
51 1
52 1
53 1
54 0
55 0
56 0
57 1
58 3
59 0
60 1
61 3
62 0
63 2
64 3
65 2
66 1
67 3
68 2
69 3
70 3
71 1
72 0
73 0
74 2
75 1
76 0
77 0
78 0
79 0
80 1
81 1
82 0
83 0
84 0
85 1
86 0
87 0
88 0
89 1
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 1
