# Statistics for m=1, N=50, S=200000, M=28
# k-definiteness count
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 3
39 0
40 0
41 0
42 3
43 1
44 3
45 3
46 2
47 3
48 4
49 5
50 4
51 6
52 9
53 8
54 1
55 7
56 5
57 5
58 7
59 10
60 8
61 7
62 4
63 7
64 6
65 3
66 7
67 6
68 10
69 6
70 13
71 11
72 11
73 17
74 22
75 20
76 8
77 17
78 16
79 10
80 23
81 22
82 14
83 29
84 25
85 13
86 25
87 25
88 19
89 22
90 16
91 11
92 9
93 13
94 9
95 11
96 11
97 7
98 8
99 9
100 6
101 4
102 3
103 2
104 2
105 4
106 1
107 5
108 1
109 1
110 3
111 1
112 0
113 1
