# Statistics for m=1, N=50, S=200000, M=31
# k-definiteness count
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 1
44 1
45 1
46 1
47 2
48 0
49 2
50 2
51 3
52 3
53 3
54 4
55 3
56 1
57 6
58 4
59 7
60 5
61 9
62 9
63 4
64 12
65 3
66 7
67 3
68 3
69 3
70 6
71 6
72 4
73 0
74 12
75 5
76 7
77 3
78 8
79 5
80 8
81 10
82 9
83 13
84 14
85 18
86 18
87 12
88 28
89 9
90 13
91 17
92 18
93 24
94 14
95 8
96 14
97 18
98 11
99 8
100 16
101 13
102 11
103 13
104 7
105 9
106 5
107 10
108 2
109 7
110 5
111 4
112 3
113 3
114 3
115 2
116 1
117 3
118 2
119 1
120 0
121 1
122 0
123 1
124 0
125 0
126 1
127 0
128 0
129 0
130 0
131 0
132 1
