# Statistics for m=1, N=200, S=20000, M=8
# k-definiteness count
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 1
37 0
38 3
39 1
40 0
41 3
42 0
43 1
44 2
45 3
46 1
47 3
48 1
49 5
50 2
51 2
52 1
53 1
54 2
55 1
56 4
57 2
58 3
59 6
60 3
61 10
62 3
63 2
64 4
65 6
66 4
67 10
68 6
69 9
70 5
71 13
72 10
73 7
74 3
75 3
76 3
77 16
78 8
79 1
80 9
81 5
82 2
83 2
84 3
85 1
86 0
87 3
88 2
89 1
90 1
91 1
