# Statistics for m=1, N=200, S=20000, M=10
# k-definiteness count
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 1
46 1
47 1
48 0
49 0
50 0
51 1
52 2
53 3
54 2
55 3
56 1
57 1
58 1
59 1
60 2
61 3
62 5
63 5
64 2
65 1
66 3
67 4
68 4
69 2
70 1
71 0
72 2
73 1
74 1
75 1
76 4
77 1
78 2
79 3
80 3
81 4
82 7
83 4
84 3
85 5
86 0
87 7
88 3
89 5
90 10
91 1
92 6
93 5
94 2
95 6
96 6
97 5
98 5
99 1
100 3
101 4
102 4
103 3
104 7
105 0
106 1
107 4
108 1
109 1
110 4
111 1
112 1
113 0
114 0
115 0
116 1
