# Statistics for m=1, N=50, S=50000, M=29
# k-definiteness count
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 2
39 0
40 1
41 1
42 1
43 0
44 0
45 0
46 0
47 1
48 2
49 0
50 2
51 2
52 0
53 0
54 0
55 1
56 2
57 0
58 1
59 4
60 3
61 1
62 0
63 1
64 1
65 0
66 4
67 3
68 3
69 2
70 4
71 6
72 2
73 7
74 3
75 3
76 4
77 5
78 5
79 4
80 5
81 7
82 1
83 2
84 1
85 1
86 0
87 0
88 0
89 1
90 4
91 2
92 1
93 2
94 1
95 0
96 0
97 1
98 0
99 0
100 0
101 0
102 0
103 0
104 1
