# Statistics for m=1, N=100, S=-1, M=16
# k-definiteness count
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 1
39 1
40 0
41 0
42 0
43 0
44 0
45 2
46 2
47 1
48 3
49 2
50 5
51 7
52 2
53 14
54 6
55 19
56 22
57 18
58 22
59 20
60 32
61 28
62 18
63 27
64 31
65 24
66 20
67 25
68 18
69 34
70 19
71 22
72 22
73 18
74 19
75 23
76 12
77 18
78 15
79 21
80 25
81 27
82 35
83 35
84 34
85 44
86 57
87 58
88 52
89 73
90 59
91 72
92 54
93 72
94 59
95 55
96 61
97 68
98 51
99 68
100 43
101 54
102 56
103 49
104 33
105 40
106 37
107 35
108 30
109 19
110 26
111 21
112 15
113 8
114 9
115 7
116 5
117 13
118 5
119 7
120 4
121 3
122 1
123 1
124 0
125 0
126 2
127 1
128 2
129 1
130 0
131 0
132 0
133 1
