# Statistics for m=1, N=20, S=200000, M=54
# k-definiteness count
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 1
33 1
34 1
35 0
36 0
37 0
38 0
39 1
40 0
41 1
42 2
43 0
44 0
45 1
46 0
47 1
48 1
49 1
50 0
51 0
52 2
53 0
54 1
55 2
56 2
57 2
58 3
59 5
60 5
61 2
62 8
63 4
64 5
65 5
66 2
67 1
68 5
69 4
70 1
71 2
72 2
73 2
74 1
75 2
76 4
77 1
78 1
79 0
80 0
81 1
82 0
83 0
84 1
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 1
