# Statistics for m=1, N=50, S=100000, M=30
# k-definiteness count
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 2
44 2
45 0
46 3
47 0
48 2
49 2
50 3
51 2
52 1
53 2
54 2
55 4
56 1
57 5
58 2
59 4
60 1
61 1
62 3
63 4
64 4
65 4
66 1
67 2
68 2
69 1
70 8
71 7
72 3
73 10
74 6
75 5
76 10
77 5
78 9
79 10
80 9
81 13
82 4
83 6
84 8
85 12
86 8
87 5
88 4
89 4
90 2
91 3
92 3
93 4
94 5
95 5
96 9
97 0
98 2
99 0
100 1
101 1
102 1
103 1
104 1
105 2
106 0
107 1
108 0
109 1
110 0
111 0
112 0
113 1
114 0
115 0
116 0
117 0
118 0
119 0
120 0
121 1
