# Statistics for m=1, N=50, S=100000, M=28
# k-definiteness count
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 1
39 0
40 1
41 1
42 1
43 0
44 0
45 6
46 4
47 0
48 2
49 3
50 5
51 4
52 3
53 7
54 3
55 3
56 5
57 2
58 4
59 2
60 4
61 5
62 5
63 6
64 3
65 6
66 6
67 4
68 7
69 10
70 9
71 5
72 9
73 16
74 9
75 13
76 10
77 3
78 10
79 14
80 10
81 11
82 9
83 5
84 7
85 6
86 9
87 4
88 2
89 7
90 5
91 2
92 3
93 5
94 2
95 2
96 1
97 0
98 0
99 0
100 1
101 1
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 1
