# Statistics for m=1, N=50, S=100000, M=29
# k-definiteness count
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 1
40 0
41 0
42 1
43 3
44 2
45 1
46 4
47 3
48 2
49 2
50 2
51 1
52 0
53 1
54 0
55 4
56 2
57 4
58 5
59 1
60 2
61 3
62 3
63 2
64 2
65 0
66 4
67 6
68 5
69 8
70 5
71 16
72 5
73 7
74 6
75 9
76 9
77 5
78 6
79 9
80 10
81 5
82 11
83 13
84 3
85 9
86 6
87 5
88 4
89 6
90 4
91 6
92 3
93 3
94 0
95 6
96 1
97 1
98 2
99 2
100 1
101 0
102 1
103 0
104 2
105 0
106 0
107 2
