# Statistics for m=1, N=200, S=200000, M=8
# k-definiteness count
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 1
40 1
41 2
42 6
43 5
44 2
45 5
46 3
47 7
48 6
49 8
50 18
51 21
52 23
53 17
54 24
55 30
56 44
57 41
58 46
59 40
60 48
61 57
62 53
63 51
64 56
65 54
66 53
67 42
68 46
69 46
70 42
71 31
72 34
73 38
74 33
75 45
76 51
77 45
78 57
79 65
80 60
81 70
82 79
83 78
84 69
85 89
86 87
87 108
88 114
89 93
90 97
91 116
92 106
93 102
94 102
95 95
96 87
97 102
98 78
99 69
100 73
101 65
102 55
103 38
104 42
105 45
106 31
107 22
108 17
109 20
110 19
111 13
112 9
113 13
114 7
115 11
116 4
117 0
118 6
119 2
120 0
121 0
122 1
123 0
124 0
125 0
126 0
127 0
128 0
129 0
130 1
