# Statistics for m=1, N=200, S=200000, M=5
# k-definiteness count
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 1
20 0
21 0
22 3
23 3
24 3
25 2
26 8
27 11
28 16
29 15
30 33
31 32
32 51
33 48
34 71
35 95
36 85
37 89
38 96
39 102
40 120
41 124
42 122
43 114
44 109
45 122
46 118
47 106
48 129
49 126
50 136
51 144
52 158
53 158
54 149
55 178
56 186
57 177
58 158
59 165
60 167
61 153
62 114
63 106
64 80
65 70
66 72
67 59
68 46
69 37
70 27
71 21
72 14
73 22
74 16
75 6
76 6
77 11
78 8
79 1
80 4
81 2
82 1
83 0
84 1
