# Statistics for m=1, N=100, S=100000, M=15
# k-definiteness count
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 4
39 2
40 2
41 6
42 4
43 7
44 3
45 4
46 8
47 11
48 10
49 7
50 8
51 12
52 14
53 10
54 10
55 17
56 13
57 12
58 17
59 9
60 14
61 12
62 13
63 11
64 10
65 14
66 20
67 20
68 18
69 20
70 13
71 28
72 26
73 31
74 26
75 28
76 23
77 26
78 29
79 15
80 27
81 34
82 30
83 37
84 22
85 29
86 20
87 24
88 27
89 21
90 12
91 18
92 19
93 8
94 16
95 9
96 4
97 6
98 0
99 9
100 3
101 1
102 4
103 6
104 1
105 4
106 2
107 0
108 0
109 0
110 0
111 0
112 0
113 1
114 0
115 1
