# Statistics for m=1, N=100, S=100000, M=11
# k-definiteness count
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 1
26 1
27 5
28 6
29 3
30 11
31 7
32 9
33 12
34 17
35 22
36 22
37 23
38 19
39 26
40 21
41 19
42 25
43 14
44 20
45 24
46 25
47 26
48 37
49 34
50 31
51 37
52 40
53 46
54 54
55 54
56 59
57 36
58 52
59 48
60 49
61 49
62 34
63 33
64 34
65 24
66 29
67 19
68 19
69 14
70 16
71 13
72 12
73 11
74 5
75 3
76 3
77 1
78 1
79 2
80 1
81 0
82 0
83 1
84 0
85 0
86 0
87 0
88 0
89 1
