# Statistics for m=1, N=100, S=200000, M=17
# k-definiteness count
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 2
48 0
49 2
50 0
51 6
52 11
53 3
54 4
55 8
56 11
57 11
58 8
59 15
60 14
61 9
62 19
63 24
64 22
65 22
66 20
67 18
68 15
69 23
70 14
71 22
72 16
73 21
74 23
75 14
76 15
77 11
78 15
79 10
80 16
81 15
82 15
83 23
84 17
85 23
86 18
87 29
88 42
89 42
90 39
91 39
92 49
93 50
94 54
95 47
96 48
97 55
98 49
99 43
100 60
101 49
102 50
103 41
104 49
105 27
106 44
107 39
108 29
109 31
110 37
111 26
112 28
113 26
114 22
115 18
116 14
117 18
118 13
119 8
120 8
121 8
122 11
123 10
124 4
125 2
126 1
127 2
128 4
129 0
130 1
131 2
132 1
133 2
134 0
135 0
136 1
